,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,course,G_mean,social_economic_score,social_class
0,GP,F,18,1,GT3,A,1,1,0,1,course,mother,1,2,0,yes,no,no,no,yes,yes,0,no,4,3,4,1,1,3,6,5,6,6,math,5.666666666666667,5,higher_economic_class
1,GP,F,17,1,GT3,T,0,0,0,1,course,father,1,2,0,no,yes,no,no,no,yes,1,no,5,3,3,1,1,3,4,5,5,6,math,5.333333333333333,4,higher_economic_class
2,GP,F,15,1,LE3,T,0,0,0,1,other,mother,1,2,3,yes,no,yes,no,yes,yes,1,no,4,3,2,2,3,3,10,7,8,10,math,8.333333333333334,4,higher_economic_class
3,GP,F,15,1,GT3,T,1,0,1,1,home,mother,1,3,0,no,yes,yes,yes,yes,yes,1,yes,3,2,2,1,1,5,2,15,14,15,math,14.666666666666666,6,higher_economic_class
4,GP,F,16,1,GT3,T,1,1,1,1,home,father,1,2,0,no,yes,yes,no,yes,yes,0,no,4,3,2,1,2,5,4,6,10,10,math,8.666666666666666,6,higher_economic_class
5,GP,M,16,1,LE3,T,1,1,1,1,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,1,no,5,4,2,1,2,5,10,15,15,15,math,15.0,7,higher_economic_class
6,GP,M,16,1,LE3,T,0,0,1,1,home,mother,1,2,0,no,no,no,no,yes,yes,1,no,4,4,4,1,1,3,0,12,12,11,math,11.666666666666666,5,higher_economic_class
7,GP,F,17,1,GT3,A,1,1,1,1,home,mother,1,2,0,yes,yes,no,no,yes,yes,0,no,4,1,4,1,1,1,6,6,5,6,math,5.666666666666667,6,higher_economic_class
8,GP,M,15,1,LE3,A,1,0,1,1,home,mother,1,2,0,no,yes,yes,no,yes,yes,1,no,4,2,2,1,1,1,0,16,18,19,math,17.666666666666668,6,higher_economic_class
9,GP,M,15,1,GT3,T,1,1,1,1,home,mother,1,2,0,no,yes,yes,yes,yes,yes,1,no,5,5,1,1,1,5,0,14,15,15,math,14.666666666666666,7,higher_economic_class
10,GP,F,15,1,GT3,T,1,1,1,1,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,1,no,3,3,3,1,2,2,0,10,8,9,math,9.0,7,higher_economic_class
11,GP,F,15,1,GT3,T,0,0,1,1,reputation,father,0,3,0,no,yes,no,yes,yes,yes,1,no,5,2,2,1,1,4,4,10,12,12,math,11.333333333333334,4,higher_economic_class
12,GP,M,15,1,LE3,T,1,1,1,1,course,father,1,1,0,no,yes,yes,yes,yes,yes,1,no,4,3,3,1,3,5,2,14,14,14,math,14.0,7,higher_economic_class
13,GP,M,15,1,GT3,T,1,1,1,1,course,mother,1,2,0,no,yes,yes,no,yes,yes,1,no,5,4,3,1,2,3,2,10,10,11,math,10.333333333333334,7,higher_economic_class
14,GP,M,15,1,GT3,A,0,0,1,1,home,other,1,3,0,no,yes,no,no,yes,yes,1,yes,4,5,2,1,1,3,0,14,16,16,math,15.333333333333334,5,higher_economic_class
15,GP,F,16,1,GT3,T,1,1,1,1,home,mother,1,1,0,no,yes,no,no,yes,yes,1,no,4,4,4,1,2,2,4,14,14,14,math,14.0,7,higher_economic_class
16,GP,F,16,1,GT3,T,1,1,1,1,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,1,no,3,2,3,1,2,2,6,13,14,14,math,13.666666666666666,7,higher_economic_class
17,GP,F,16,1,GT3,T,1,1,1,1,reputation,mother,0,2,0,yes,yes,no,yes,yes,yes,0,no,5,3,2,1,1,4,4,8,10,10,math,9.333333333333334,5,higher_economic_class
18,GP,M,17,1,GT3,T,1,0,1,1,course,mother,1,1,3,no,yes,no,yes,yes,yes,1,no,5,5,5,2,4,5,16,6,5,5,math,5.333333333333333,6,higher_economic_class
19,GP,M,16,1,LE3,T,1,1,1,1,home,father,1,1,0,no,no,yes,yes,yes,yes,1,no,3,1,3,1,3,5,4,8,10,10,math,9.333333333333334,7,higher_economic_class
20,GP,M,15,1,GT3,T,1,1,1,1,reputation,mother,1,2,0,no,no,no,no,yes,yes,1,no,4,4,1,1,1,1,0,13,14,15,math,14.0,7,higher_economic_class
21,GP,M,15,1,GT3,T,1,1,1,1,other,father,1,1,0,no,yes,yes,no,yes,yes,1,no,5,4,2,1,1,5,0,12,15,15,math,14.0,7,higher_economic_class
22,GP,M,16,1,LE3,T,1,0,1,1,course,mother,1,2,0,no,no,no,yes,yes,yes,1,no,4,5,1,1,3,5,2,15,15,16,math,15.333333333333334,6,higher_economic_class
23,GP,M,16,1,LE3,T,0,0,1,1,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,1,no,5,4,4,2,4,5,0,13,13,12,math,12.666666666666666,5,higher_economic_class
24,GP,F,15,0,GT3,T,0,1,1,1,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,1,no,4,3,2,1,1,5,2,10,9,8,math,9.0,5,higher_economic_class
25,GP,F,16,1,GT3,T,0,0,1,1,home,mother,1,1,2,no,yes,yes,no,no,yes,1,no,1,2,2,1,3,5,14,6,9,8,math,7.666666666666667,5,higher_economic_class
26,GP,M,15,1,GT3,T,0,0,1,1,home,mother,1,1,0,no,yes,yes,no,yes,yes,1,no,4,2,2,1,2,5,2,12,12,11,math,11.666666666666666,5,higher_economic_class
27,GP,M,15,1,GT3,T,1,0,1,1,other,mother,1,1,0,no,no,yes,no,yes,yes,1,no,2,2,4,2,4,1,4,15,16,15,math,15.333333333333334,6,higher_economic_class
28,GP,M,16,1,LE3,A,1,1,1,1,home,mother,1,2,0,yes,yes,no,yes,yes,yes,1,no,5,3,3,1,1,5,4,11,11,11,math,11.0,7,higher_economic_class
29,GP,M,16,1,GT3,T,1,1,1,1,home,mother,1,2,0,no,yes,yes,yes,yes,yes,1,yes,4,4,5,5,5,5,16,10,12,11,math,11.0,7,higher_economic_class
30,GP,M,15,1,GT3,T,1,1,1,1,home,mother,1,2,0,no,yes,yes,no,no,yes,1,no,5,4,2,3,4,5,0,9,11,12,math,10.666666666666666,7,higher_economic_class
31,GP,M,15,1,GT3,T,1,1,1,1,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,1,no,4,3,1,1,1,5,0,17,16,17,math,16.666666666666668,7,higher_economic_class
32,GP,M,15,0,GT3,T,1,1,1,0,course,mother,1,2,0,no,yes,no,yes,yes,yes,1,yes,4,5,2,1,1,5,0,17,16,16,math,16.333333333333332,5,higher_economic_class
33,GP,M,15,1,LE3,T,1,1,1,1,course,mother,1,2,0,no,no,no,yes,no,yes,1,no,5,3,2,1,1,2,0,8,10,12,math,10.0,7,higher_economic_class
34,GP,M,16,1,GT3,T,1,0,1,1,home,mother,1,1,0,no,yes,yes,no,no,yes,1,no,5,4,3,1,1,5,0,12,14,15,math,13.666666666666666,6,higher_economic_class
35,GP,F,15,1,GT3,T,0,1,1,1,other,father,1,1,0,no,yes,no,yes,yes,yes,0,no,3,5,1,1,1,5,0,8,7,6,math,7.0,5,higher_economic_class
36,GP,M,15,1,LE3,T,1,1,1,1,home,mother,1,3,0,no,yes,no,yes,yes,yes,1,no,5,4,3,1,1,4,2,15,16,18,math,16.333333333333332,7,higher_economic_class
37,GP,M,16,0,GT3,A,1,1,1,1,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,1,yes,2,4,3,1,1,5,7,15,16,15,math,15.333333333333334,6,higher_economic_class
